id,title,release,budget,revenue,numCrew,numCast,male,female,unknown,Editing,Art,Sound,Production,Directing,Writing,Visual Effects,Costume & Make-Up,Crew,Lighting,Camera,Actors
3090,The Treasure of the Sierra Madre,1948-01-15,3800000,4307000,30,32,38,2,22,1,2,5,3,3,2,0,4,8,0,2,0
37347,Fort Apache,1948-03-26,2500000,3000000,29,43,44,7,21,1,2,5,4,4,2,0,3,4,0,4,0
43456,The Miracle of the Bells,1948-03-27,2000000,2100000,31,49,55,8,17,1,4,4,3,4,3,0,4,4,0,4,0
111960,Miranda,1948-04-06,784170,834332,11,22,13,6,14,1,1,1,1,2,2,0,1,0,0,2,0
35032,The Pirate,1948-06-11,3700000,2956000,7,12,10,6,3,0,1,0,1,1,2,0,1,0,0,1,0
1580,Rope,1948-08-26,1500000,2200000,28,9,20,4,13,1,4,3,3,2,4,0,6,0,1,4,0
3089,Red River,1948-08-26,3000000,9012000,81,36,56,8,53,6,6,9,10,7,3,0,19,10,3,8,0
5156,Ladri di biciclette,1948-11-24,133000,361712,25,20,16,3,26,1,1,4,4,4,8,0,0,0,0,3,0
29244,3 Godfathers,1948-12-01,1243000,2841000,30,30,32,7,21,1,4,4,3,3,4,0,3,4,0,4,0
32850,Act of Violence,1949-01-22,1290000,1129000,10,12,16,4,2,1,3,1,1,1,2,0,0,0,0,1,0
25918,Champion,1949-04-09,600000,2500000,22,11,19,4,10,1,2,4,3,2,2,0,4,0,1,3,0
27563,Flamingo Road,1949-04-30,1528000,2896000,11,20,22,7,2,0,0,1,1,2,3,0,1,2,0,1,0
13909,She Wore a Yellow Ribbon,1949-10-22,1600000,5400000,19,24,30,3,10,2,3,4,3,1,3,1,0,1,0,1,0
31516,On the Town,1949-12-08,2133000,4428000,19,11,19,8,3,1,3,1,2,3,5,0,3,0,0,1,0
18712,Sands of Iwo Jima,1949-12-14,1000000,7800000,7,49,28,4,24,1,0,1,0,1,3,0,0,0,0,1,0
29993,Samson and Delilah,1949-12-21,3000000,11500000,26,32,35,13,10,1,4,3,1,3,3,0,7,1,0,3,0
11224,Cinderella,1950-02-22,2900000,263591415,50,23,40,8,25,1,7,8,2,11,9,10,0,2,0,0,0
110669,Wabash Avenue,1950-03-31,2115000,2039000,5,14,10,5,4,0,0,0,1,1,3,0,0,0,0,0,0
25209,Annie Get Your Gun,1950-05-01,3768785,8000000,5,12,13,4,0,0,0,0,1,1,1,0,1,0,0,1,0
599,Sunset Boulevard,1950-08-10,1752000,5000000,44,69,54,15,44,3,8,7,2,3,3,2,8,2,1,5,0
548,羅生門,1950-08-26,250000,96568,20,8,23,2,3,1,2,3,2,5,3,0,0,0,2,2,0
705,All About Eve,1950-10-06,1400000,150438,25,26,29,13,9,1,5,5,3,3,2,0,3,0,0,3,0
26712,The Enforcer,1951-02-24,1109000,2873000,11,22,26,2,5,1,2,3,1,2,1,0,0,0,0,1,0
285959,Valentino,1951-03-08,1300000,1550000,5,8,8,2,3,0,0,0,1,1,2,0,0,0,0,1,0
72479,Lightning Strikes Twice,1951-04-12,1108000,1144000,17,34,31,8,12,1,2,3,1,3,3,0,1,2,0,1,0
845,Strangers on a Train,1951-06-27,1200000,7000000,15,16,22,7,2,1,2,2,2,1,5,0,1,0,0,1,0
25364,Ace in the Hole,1951-06-29,1821052,1300000,35,50,42,6,37,2,4,8,5,3,3,2,4,1,0,3,0
17820,Show Boat,1951-07-13,2300000,11000000,7,16,13,8,2,0,0,0,1,1,4,0,0,0,0,1,0
12092,Alice in Wonderland,1951-07-28,3000000,572000000,30,21,32,7,12,1,1,1,1,3,14,9,0,0,0,0,0
702,A Streetcar Named Desire,1951-09-18,1800000,8000000,22,27,25,3,21,1,4,6,1,3,3,0,3,0,0,1,0
2769,An American in Paris,1951-09-26,2723903,4500000,16,16,18,7,7,1,3,4,1,1,2,0,1,1,0,2,0
11620,Quo Vadis,1951-11-08,7623000,101486,18,75,41,14,38,1,5,1,3,2,4,0,0,0,0,2,0
488,The African Queen,1952-01-07,1000000,46921,19,8,19,3,5,1,1,4,2,2,3,0,3,1,0,2,0
27191,The Greatest Show on Earth,1952-01-10,4000000,36000000,13,46,34,13,12,1,0,1,2,1,6,0,0,1,0,1,0
872,Singin' in the Rain,1952-04-09,2540800,7200000,23,22,27,13,5,1,4,3,1,2,4,0,3,4,0,1,0
33454,Scaramouche,1952-05-08,3005000,6746000,9,22,21,7,3,0,2,1,1,1,3,0,0,0,0,1,0
